Channel,Campaign,Placement,Date,Device,Country,Served.Impressions,No.of.clicks,Cost,No.of.products.viewed,No.of.product.bought
display,weekly_sales_2015_53,DoubleClick,1/1/16,desktop,korea,110,3,0.56,12,2
display,weekly_sales_2015_53,DoubleClick,1/1/16,desktop,malaysia,257,4,1.61,19,2
display,weekly_sales_2015_53,DoubleClick,1/1/16,desktop,singapore,15,2,0.34,3,2
display,weekly_sales_2015_53,DoubleClick,1/1/16,mobile,indonesia,321,9,2.29,25,2
display,weekly_sales_2015_53,DoubleClick,1/1/16,mobile,korea,251,8,1.41,13,2
display,weekly_sales_2015_53,DoubleClick,1/1/16,mobile,malaysia,194,8,1.57,30,2
display,weekly_sales_2015_53,DoubleClick,1/1/16,mobile,singapore,203,3,0.81,10,2
display,weekly_sales_2015_53,DoubleClick,1/1/16,mobile,thailand,70,3,0.53,18,2
display,weekly_sales_2015_53,GDN,1/1/16,desktop,cambodia,195,3,0.97,5,2
display,weekly_sales_2015_53,GDN,1/1/16,desktop,indonesia,128,4,1.45,22,2
display,weekly_sales_2015_53,GDN,1/1/16,desktop,korea,201,5,1.09,17,2
display,weekly_sales_2015_53,GDN,1/1/16,desktop,malaysia,175,3,1.3,8,2
display,weekly_sales_2015_53,GDN,1/1/16,desktop,singapore,157,2,1.44,6,2
display,weekly_sales_2015_53,GDN,1/1/16,desktop,thailand,139,2,0.73,3,2
display,weekly_sales_2015_53,GDN,1/1/16,mobile,cambodia,165,3,0.73,25,2
display,weekly_sales_2015_53,GDN,1/1/16,mobile,indonesia,67,5,1,16,2
display,weekly_sales_2015_53,GDN,1/1/16,mobile,korea,71,7,0.95,8,2
display,weekly_sales_2015_53,GDN,1/1/16,mobile,malaysia,180,6,1.36,26,2
display,weekly_sales_2015_53,GDN,1/1/16,mobile,thailand,85,2,0.75,9,2
display,weekly_sales_2015_53,komli,1/1/16,desktop,cambodia,24,3,0.42,2,2
display,weekly_sales_2015_53,komli,1/1/16,desktop,korea,94,3,0.78,2,2
