,post_username,post_ID,post_comment,message_ID,sentiment,DatetimeSG,Hour,Dayofweek,wordcount,mean,vNegTerms,negTerms,posTerms,vPosTerms
1,Scott Woodman,4.71E+14,how is grab credit deducted if I use grab service in Thailand? thanks,4488,neutral,8/30/2017 8:37,8,3,13,2,0,0,1,0
2,Charles Quitania,1.02E+16,Who can I talk to about a dispute of charges?,4487,neutral,8/29/2017 23:25,23,2,10,-1,0,1,0,0
3,Chriz Larin,1.59E+15,Cherlin this is so you!,4485,neutral,8/29/2017 3:26,3,2,5,0,0,0,0,0
4,Rachael Anne Goh,1.02E+16,Clement Tan,4486,neutral,8/29/2017 7:56,7,2,2,0,0,0,0,0
5,Grab,2.30E+14,"Hi Emms, do get in touch with us via pm and we will assist you asap.",4481,neutral,8/31/2017 22:08,22,4,16,2,0,0,1,0
6,Kazuya Tann,1.53E+15,"Lets talk about grab pay.   In Malaysia, for grab pay, RM 1 = 10 points (pts) So to get a Silver membership, you need 1000 pts, which means you need to spend RM100. (1000pts) For Gold membership, you need 3000 pts, which means you need to spend RM 300. (3000pts) For Platinum membership, you need 8000 pts, which means you need to spend RM800. (8000 pts)   So lets talk about Singapores grab pay.   In Singapore, for grab pay, SGD1 = 16pts  So to get a Silver membership, you need 3000 pts, which means you need to spend SGD187.50. (3000pts) For Gold membership, you need 9000 pts, which means you need to spend SGD562.50. (9000pts) For Platinum membership, you need 19000 pts, which means you need to spend SGD1187.50. (19000 pts)   I would have easily gotten platinum membership if I am in Malaysia. Sadly, I am not. Based in SG  Took grab for a year  Spend around 700 and sadly never will I get to Gold member or even platinum membership. I really hope that grab would do something about this. Maybe change the points system by letting us earn more points or maybe lower down the points for us to reach the membership. Thankyou.",4479,neutral,8/29/2017 21:33,21,2,204,0.111111111,0,2,3,0
7,Kazuya Tann,1.53E+15,i can't set up my grab pin what should i do,4480,neutral,8/30/2017 4:47,4,3,11,0,0,0,0,0
8,Balkrishna Tripathi,1.02E+16,"Congrats to the parents! Well done Alvinder Singh, you couldn't have done it any better..... There isn't any gift greater than HELP. Doing it for someone in need just makes it much more valuable.",4478,positive,8/28/2017 19:58,19,1,34,2.166666667,0,0,6,0
9,Nur Khairunnisa,1.02E+16,Congrats for the both of you... It happen to me last 7 years.... gave birth in the car... not Grab but in my father's car.... it was so amazing... my mum who helped me to welcome my baby... ,4477,positive,8/28/2017 8:44,8,1,39,2.666666667,0,0,2,1
10,Andrew Chua Emi,1.76E+15,I think is only for show... cos i so far dun c grab driver so kind and helpful... except driver is friends..,4472,positive,8/27/2017 21:01,21,0,22,2,0,0,2,0
11,Forlan Quireoz,4.88E+14,So when grab is going to stop the nonsense of banning drivers below your acceptance rate? You start off as a matching apps between riders and drivers. So now why making riders paying for more surge when you cut off the supply? It doesnt make sense with your action.,4469,negative,8/27/2017 2:54,2,0,49,-1.333333333,0,3,0,0
12,Johari Jo,1.93E+15,Macan kenal tapi di mana,4473,neutral,8/28/2017 0:26,0,1,5,0,0,0,0,0
13,Jimmy Tan,1.63E+15,,4476,neutral,8/28/2017 6:47,6,1,1,0,0,0,0,0
14,Jimmy Tan,1.63E+15,,4475,neutral,8/28/2017 6:47,6,1,1,0,0,0,0,0
15,Johari Jo,1.93E+15,Amin,4474,positive,8/28/2017 0:28,0,1,1,2,0,0,1,0
16,AidaAsri Aqa Zahary,7.21E+14,Zachary OttosanNew  :) ,4470,positive,8/27/2017 6:51,6,0,4,0,0,0,0,0
17,Ahmed M. Hathoot,1.86E+15,Tara Alexandria Peralta,4471,neutral,8/27/2017 7:06,7,0,3,0,0,0,0,0
18,June Serav,1.02E+16,"Hi grab, I just got off and realised u stopped sending the amount of reward points I earned frm the trip. I tried to check history but it doesnt put the reward points earned too. Can u please add that feature so we can keep track?",4452,neutral,8/30/2017 6:07,6,3,46,1,0,1,3,0
19,Kia Lim,9.62E+14,"Thanks Grab. I used to own a car but I scraped it 3 months ago. For the past 3 months I have been taking Grab on daily basis, monthly spend $750$800 on grab. My monthly expenditure for my exmy car without installation was already $1000 (petrol $450, ERP and Parking $100 and ave monthly maintenance fee, insurance, road tax $500 ) Now, I have saved a few hundred bucks per month and the only reason I will consider to buy a car again is COE drops below 25k.",4450,positive,8/29/2017 19:40,19,2,88,2,0,0,2,0
20,Germaine Priscilla Png,7.15E+14,"I was at orchard gateway n was calling for grab 1st time i was told driver needs to drop a passenger, and she is 9mins. As i am running out of time. I cancel n rebook. This time another 1 also need to drop passenger n is 8mins away. N hold for awhile n see dat driver is moving further n 9mins away. So i decided to cancel. This time a pop up to say i need to pay $5 if i cancel. Den did u asked me if im willing to wait for driver to drop passenger b4 picking me? If this is how u gg to stuff consumer into taking ur ride. Im not taking grab anymore. I nvr took uber as u hv been serving well. Until this drop off passenger thingy. Guess what? I waited 12mins for him to reach and im super late. If u wanna hve this, at least let consumer cancel or ask if we r willingly to wait.",4451,neutral,8/29/2017 22:29,22,2,166,-0.307692308,0,9,3,0
21,Francis Soh,1.02E+16,Vivien Chung cheapskate reward for you.. Faster go and redeem your cheapskate reward..,4448,positive,8/26/2017 18:13,18,6,13,2,0,0,2,0
22,Terrence Mah,1.62E+15,she holds the coffee cup like that surely will spill everywhere,4449,neutral,8/26/2017 20:28,20,6,11,0,0,0,0,0
23,Ian Ian,1.72E+14,Hai Nhi Farah Hanisah Azra,4447,neutral,8/26/2017 18:00,18,6,5,0,0,0,0,0
24,Luve Nur,1.02E+16,As per normal Kell Jay and Andrew is the most friendliest grab staffs and bosses.Kudos to Grab ,4444,positive,8/27/2017 7:30,7,0,18,0,0,0,0,0
25,Zhang Yu Ting,2.10E+15,Cheryl Mwp Marie Khau Must aim to give birth in the Grab!,4427,neutral,8/26/2017 2:36,2,6,12,0,0,0,0,0
26,Fareesya Syareezan,1.47E+15,Nur Farhani Zuraini aku nk branak dlm grab la da rase contraction kuat je aku g hosp book grab! Hehehe!,4437,neutral,8/26/2017 10:02,10,6,20,0,0,0,0,0
27,Ting Fang Poh,1.02E+16,Sophie Seetoh Yijia I wish there was grab when i was born.. i need $8000 worth of credits too T_T,4435,positive,8/26/2017 8:10,8,6,20,1.5,0,0,2,0
28,Damsie Yang,1.02E+16,"if we want that Grab romper, must give birth in a Grab issit? kekeke..",4428,positive,8/26/2017 2:52,2,6,14,1,0,0,1,0
29,Siling Chen,3.86E+14,So sweet of you guys for this gesture...and the grab romper lol!,4422,positive,8/26/2017 1:42,1,6,12,2.333333333,0,0,2,0
30,Farhana Adi,1.02E+16,I like how the guy on the left in the grab tshirt embraced the sword thats shuffed into his face lol,4438,positive,8/26/2017 11:04,11,6,21,1.666666667,0,0,1,0
31,Norazlyza Ismail,1.02E+16,That girl with the foam sword steals the show! Great picture!,4440,positive,8/26/2017 16:30,16,6,11,0.5,0,1,1,0
32,Suzanah Salamat,1.02E+16,All races in 1 picture...i loike...Congrats to Grab & baby's parents,4443,positive,8/27/2017 0:29,0,0,11,0,0,0,0,0
33,Limpeh Troy,1.02E+16,Stupid. Now you see pregnant ladies calling grab instead of ambulance and trying to take detours (oh just have to pick something up in pasir ris before we go to the hospital) to make sure they give birth in the grab.,4434,positive,8/26/2017 7:03,7,6,41,-2,0,1,0,0
34,Gary Chan,1.95E+14,Nothing but advertising gimmicks,4431,negative,8/26/2017 4:00,4,6,4,0,0,0,0,0
35,Jessie Sandhu,1.02E+16,It shd be a lifetime worth of Grab rides!,4433,neutral,8/26/2017 6:06,6,6,9,2,0,0,1,0
36,Lenny Ong,1.41E+15,Encouraging to give birth in grab car.,4424,positive,8/26/2017 1:50,1,6,7,0,0,0,0,0
37,Lingling Koh,1.02E+16,Ling Ang eh got freebies leh lol!,4426,positive,8/26/2017 2:10,2,6,7,2.5,0,0,1,0
38,Sylvester Goh,4.80E+14,the Grab romper so cute!,4436,positive,8/26/2017 9:45,9,6,5,2,0,0,1,0
39,Nuraziyan Azman,1.65E+15,Ok I also want to give birth at grab car hehe.. $8000 wow..,4429,positive,8/26/2017 2:58,2,6,13,2.5,0,0,1,1
40,Sue Kaur,1.02E+16,Nice gesture! Well done Grab,4441,positive,8/26/2017 18:21,18,6,5,3,0,0,1,1
41,Wee Wee,1.02E+16,Tot is grab for life!!,4425,positive,8/26/2017 1:55,1,6,5,0,0,0,0,0
42,Nurkhafidzah Abdul Karim,1.02E+16,Rezki anak2 Alhamdulillah!,4432,neutral,8/26/2017 4:37,4,6,3,0,0,0,0,0
43,Elvis Quek,1.02E+16,No lifetime free rides for the baby ?,4442,neutral,8/27/2017 0:21,0,0,8,1.5,0,1,1,0
44,Eva Yanti,1.02E+16,Rezeki baby ahmad.. alhamdulillah,4439,neutral,8/26/2017 15:05,15,6,4,0,0,0,0,0
45,Simps Chin,1.02E+16,wow... Grab romper.. nice sia....,4430,positive,8/26/2017 3:17,3,6,5,4,0,0,0,2
46,Shireen Moosa,1.48E+15,Thats very kind of u guys..,4423,positive,8/26/2017 1:48,1,6,6,2,0,0,1,0
47,Joyce Cheong,1.02E+16,"Side question Grab, are ERP charges included in the fare as shown on the Grab phone screen?",4415,neutral,8/26/2017 6:22,6,6,17,0,0,0,0,0
48,Tan Josephine,2.05E+15,"Hi, is booking fee applied or just metered fare?",4419,neutral,8/27/2017 21:57,21,0,9,0,0,0,0,0
49,Eigen Lee,1.02E+16,I have tried. Forever cannot get one :(,4416,negative,8/26/2017 19:26,19,6,8,0,0,0,0,0
50,SHshaiiniiee SH,1.86E+15,"Before you set up any more new thingy app on your existing App please do settle the matter in your current App. JustGrab, Grabhitch & GrabShare. It is all about the hidden charges.  It is much more better that any charges incure during the journey be directly charge from your App rather than driver need to key in. This is also give truat to your passengers and reduce unnecessary complaints towards your drivers.",4413,negative,8/26/2017 1:59,1,6,73,0.8,0,0,3,0
51,Tan Josephine,2.05E+15,Booking fees applied? Or just flag down metered fare?,4418,neutral,8/27/2017 21:57,21,0,9,0,0,0,0,0
52,Ayleen Lim Pei Fang,1.02E+16,Wilber Ng,4414,neutral,8/26/2017 3:54,3,6,2,0,0,0,0,0
53,Snehamayee Panda,1.87E+15,Ansuman Sahoo,4417,neutral,8/27/2017 0:35,0,0,2,0,0,0,0,0
54,Grab,2.30E+14,"Hi Avril, we thank you for your patience as we are currently checking with our IT team and will be updating you as soon as we can. Thanks!",4396,positive,8/28/2017 0:03,0,1,28,2,0,0,2,0
55,SH Sham,1.78E+15,"Dear Grab, Let say if we take Just Grab. 1 destination. Then we add another after that through your driver. The driver said google map shows it is 5.4km is it we pay $5 or $10?",4388,neutral,8/24/2017 21:55,21,4,36,1,0,0,1,0
56,Adam Ng,1.02E+16,"Took grabshare today, wondering if Hougang and Mountbatten should be paired up? Don't see the logic!",4398,neutral,8/28/2017 7:23,7,1,16,0,0,0,0,0
57,HM Ng,1.02E+16,"Each time grab gives rebate, I noticed fares for just grab and grab car are higher. ",4395,neutral,8/26/2017 21:22,21,6,17,0,0,0,0,0
58,Calis Cheah,1.02E+16,I entered the code when booking my grabshare ride today but the whole fare was deducted from my account. Your notification for GrabHitch only came after I cancelled the booking too,4392,neutral,8/25/2017 22:34,22,5,31,-1,0,1,0,0
59,Jasmine Chio,1.02E+16,"Hello, I'm unable to use the SAVE5 promo code despite receiving the notification too. Have PMed you. Please assist.",4405,neutral,8/28/2017 17:03,17,1,19,1.666666667,0,0,3,0
60,Pamela Squeezeyourteddy,1.02E+16,"Hi Grab. I was given $5 off with ""SAVE5"", but why can't I use it? Is there anything wrong?",4404,neutral,8/28/2017 16:31,16,1,19,-2,0,1,1,0
61,Tang Yongsheng,1.79E+15,"You are sending me emails and messages on promo codes but whenever I apply, there are always no drivers. Pretty ridiculous",4400,negative,8/28/2017 15:47,15,1,21,-1,0,2,1,0
62,Qintao Xu,1.49E+15,"why grab can't use balance credit to pay? I still have $3 balance in my account, but i cant use it just due to minimim tripcharge $4. How bad your system design. It is not user friendly. Why cant use balance first and the rest deduct from my credit card?",4403,neutral,8/28/2017 16:12,16,1,50,-0.333333333,0,1,1,0
63,Karen Teng,1.02E+16,"Grab, is there promo code for next week? I mean other than this.",4393,neutral,8/26/2017 16:54,16,6,13,0,0,0,0,0
64,Yueqi Zhang,1.02E+16,I was wondering why different people have different promotion codes during the same period of time? E.g some people have promo code for $5 discount while others with promo code for $4 discount.,4409,neutral,8/30/2017 7:24,7,3,33,0,0,0,0,0
65,Cheang Yen Kenn,1.63E+15,"I am unable to utilize the SAVE5 promo, messaged you have but there is no response",4406,neutral,8/28/2017 19:04,19,1,16,2,0,1,1,0
66,Liu Chen,3.59E+14,I hope there will be other competitors in Singapore market. Price discrimination makes me feel so uncomfortable,4402,neutral,8/28/2017 15:55,15,1,17,0,0,1,1,0
67,Yak Yong Long,1.02E+16,Hi grab yesterday I get 5$off using promo code saves today it become 4$off promo code 4off SERIOUSLY?,4401,neutral,8/28/2017 15:53,15,1,18,0,0,0,0,0
68,Shervin Cheng,1.02E+16,"SAVE5 promo code unable to use despite ""selected user"". Received email on being ""selected"" for SAVE5. Called call centre gives me excuses to email support.sg, texted in fb messenger no responds, emailed on the issue, god knows when responds will come back. Very disappointing as this happened many times. ",4399,neutral,8/28/2017 15:35,15,1,50,1,0,2,3,0
69,Sharon K,1.02E+16,Hi grab I've sent you 2 PM regarding a double charge on my card during top up. Please respond,4391,neutral,8/25/2017 20:06,20,5,19,1.5,0,0,2,0
70,Kai Lin,1.02E+16,Jus ended my unpleasant ride and then found out lso my promo code was not applied... grab u are making me very disappointed with your service.....,4390,negative,8/25/2017 5:30,5,5,26,-2,0,1,0,0
71,Ken Teng,2.46E+15,Hi why ur hitch prom when use it will login me off wan. Even my fren book also the same. Can u tell me why,4389,neutral,8/25/2017 0:43,0,5,25,0,0,0,0,0
72,Stephen Lim,1.02E+16,"My payment mode was changed to Cash without me changing (is this a bug? As it happened to my friend before too)! I only knew when the driver stopped me from leaving and asked me to pay up. I am supposed to have the $5 discount as shown on my Notification screenshot below. And when I wrote to your CS, she replied that it was because I didn't key in any promo code. I tried telling her that this promo doesn't req any promo code, but I don't think she gets it. Can somebody from Grab who understands this promo advise me?",4410,neutral,8/30/2017 8:50,8,3,102,-0.5,0,1,0,0
73,June Serav,1.02E+16,Why I didnt receive any promocodes for next week,4397,neutral,8/28/2017 6:12,6,1,9,0,0,0,0,0
74,Geckting Ng Ivy,1.02E+16,"Hi Grab, Pmed you for more information as the promotion is not clear",4408,neutral,8/29/2017 1:48,1,2,13,1,0,0,1,0
75,Maya Mayumi,1.66E+15,hi grab no more promotion on 28 onwards izzit for top up or opt thanks,4394,neutral,8/26/2017 20:48,20,6,15,2,0,1,2,0
76,LiJuan Khng,1.02E+16,Pmed you regarding the SAVE5 promo code. Tks!,4407,neutral,8/28/2017 20:52,20,1,8,2,0,0,1,0
77,Gu Guu,1.86E+15,Hi Grab would like to check here..regarding refund the rewards point 4500 from grab durian.. gold and platinum member Thursday rewards.. My durian was missed for delivery and delivery guy contact me and said.. points will refund in 1 week time.. as per the letter too.. I message through messenger got no reply yet.,4386,neutral,8/22/2017 21:06,21,2,54,0.5,0,2,2,0
78,Benjamin Chin,1.02E+16,when are you guys launching the equivalent of ubereats GRABabite?  :) :) :),4385,positive,8/22/2017 19:37,19,2,13,0,0,0,0,0
79,Oei Aisoen,1.02E+16,Worse ever The driver charge me $3 for waiting say more than 5min  Is the 1st time i being charge extra,4387,neutral,8/23/2017 3:10,3,3,21,-2.5,0,2,0,0
80,Steve Tan,1.02E+16,Is grab down right now? Grab hitch keep showing errors,4337,neutral,8/22/2017 2:36,2,2,10,-2,0,1,0,0
81,Jos Slang,1.02E+16,"Grab may i knw this hitchfootball promotion, do we need to submit the form everytime we completed 2 rides each day? Or we submit only once to qualify for the grand draw?",4359,neutral,8/27/2017 0:35,0,0,32,3,0,0,1,0
82,Meisan Kee,1.02E+16,"Hi, your app says my promo code is 'fully redeemed or invalid' but there was no mention at all about any limit? It's only Monday",4355,neutral,8/22/2017 7:23,7,2,25,2,0,1,1,0
83,Sok Peng Melody,1.02E+16,Grabhitch server down. Can't see scheduled rides and use promo code,4347,neutral,8/22/2017 4:52,4,2,11,0,0,0,0,0
84,Maithili Misty,1.02E+16,Give Grabhitch promo.   Bring down server with no compensation given for inconveniencing customer.  People are forced to try book normal Grab.  Guess what?  ALL OTHER GRAB RIDES SURGING AT LEAST 2X.  Well played Grab. The most unscrupulous way to do business. All other transport companies have never stooped this low. DISGUSTING!,4353,negative,8/22/2017 6:44,6,2,51,-0.666666667,0,3,1,0
85,Rishab Sharma,1.02E+16,"Hi, I can't apply GH4 promo code but I received the notification",4344,neutral,8/22/2017 4:40,4,2,12,0,0,0,0,0
86,Zhi Li Chua,1.40E+15,"Sorry I was so angry with the service of grab, I have replied to my message on Facebook messenger but no one seems to reply me",4338,negative,8/22/2017 2:41,2,2,26,-2,0,3,0,0
