"","�..date","username","post_ID","message","message_ID","Sentiment","Uber","Grab","Comfort_Taxi","Uberpool","UberX","Grabshare","Promo_General","Redeem_probs","Never_Receive","Customer_Service","CS_No_Reply","Reply_Quality","Over_Charge","Surge","Payment_System","Dishonest","Angry","Waiting_Time","Cancellations","Driver_General","Rude_Driver","Pervert_Drivers","SMRT_Breakdown","Public_transport"
"1","2017-09-10T10:34:06+0000","Angeline Poh",1.02e+16,"Uber, there is no point for me to waiting for more than 13 mins for a ride home from airport & still charging me $6 if i cancel the trip. If waiting for 13mins for your uber driver to reach, isn't better off that i take other mode of transport or transportation company ?","839304559565383_840246506137855","negative",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
"2","2017-09-11T06:47:48+0000","Junǝ Ng",1.02e+16,"Hi I received getthree in my mailbox but I can't even apply the code","839304559565383_840661646096341","negative",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3","2017-09-08T15:16:51+0000","Marcus Tan",1.94e+15,"I can't apply the code 3SG.Can check for me?","839304559565383_839466892882483","negative",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4","2017-09-08T06:22:35+0000","Nixon Joel",2.04e+15,"Foursg and 3sg both don't seem to work for me... foursg I received in my mail box","839304559565383_839315156230990","negative",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5","2017-09-10T05:57:16+0000","Jun Wee",1.02e+16,"Jun Wee I was scammed by two four-flushers in a single day of using Uber in Singapore. Never had I had an issue using Uber in other countries!  Our driver, Michelle tampered with the journey details and entered her own home address to bump up the original charges.   She accidentally told us she was going home and it was her last ride for the day.  Lo and behold, in my Uber receipt the end destination was Yishun instead of where I live which was entered in the Uber app when I first made a booking.  The driver also tampered with the records - the mileage was changed to reflect a journey of 3.2 kilometres apparently driven in 01:12:17.   This is a serious criminal offence and this con-artist should be permanently banned from commercial driving.  To make things worse, there is no actual customer service personnel to follow-up over such negative issues. Unlike ComfortDelGro Taxi which has a dedicated manager to call up customers when they face serious issues with their drivers.  Uber only sends affected customers generic computerized messages that do not contain any detail on how the driver is dealt with. In some cases, the driver is still allowed to continue driving despite taking advantage of Uber or its customers.","839304559565383_840171136145392","negative",1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0
"6","2017-09-09T01:33:39+0000","Yk Ken",1.83e+15,"You say it's limited redemption but how can so early then can't redeem ? Just after u update this new code 2 hour !","839304559565383_839644746198031","negative",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7","2017-09-09T03:22:01+0000","Logan Chinjw",1.58e+15,"limited redemption exceed few times, and I have apply a lot promotion before, and never success until now . It's not fair for the person who take uber Everyday . Got bit disappointed honestly, time to use grab","839304559565383_839672239528615","negative",1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8","2017-09-09T13:51:08+0000","Thayalan Balakrishnan Vainglorious",1.02e+16,"What the heck if your driver cancel my ride and you still wanna charge me $6 for cancellation?","839304559565383_839849979510841","negative",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"9","2017-09-08T15:03:11+0000","Nicole Chew",1.58e+15,"Your driver cancel my ride & u still wanna charge me $6 for cancellation?","839304559565383_839461362883036","negative",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"10","2017-09-08T14:56:38+0000","那珂 ミサ",1.02e+16,"Hi Uber, it's seems like I can't apply the promo?","839304559565383_839458762883296","negative",1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11","2017-09-08T14:49:09+0000","Pearlyn Lifeng",1.02e+16,"I can't apply the code","839304559565383_839455639550275","negative",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12","2017-09-08T10:58:40+0000","Sandra Juliana Thio",1.02e+16,"Is this valid for weekends too until Thurs?","839304559565383_839380772891095","neutral",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13","2017-09-08T07:15:09+0000","Daanniel Ong",1.02e+16,"I cannot apply this code on my uber rides","839304559565383_839326546229851","negative",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"14","2017-09-08T06:35:19+0000","Zoey Gao",7.27e+14,"Foursg which received by mail can't apply","839304559565383_839317582897414","negative",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15","2017-09-08T17:12:30+0000","JC Awe",1.02e+16,"What the point when so many people can't apply the coupon code within a few minutes of released!!","839304559565383_839512499544589","negative",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"16","2017-09-09T00:22:13+0000","Levin Ng",1.02e+16,"I got the $5 off promo but the system use the $3 off promo. Uber lousy","839304559565383_839626089533230","negative",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17","2017-09-08T08:19:49+0000","Jonathan Tan",1.26e+15,"Does not work for me too","839304559565383_839340452895127","negative",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18","2017-09-08T17:21:05+0000","Vicnes Raja",1.65e+15,"Not working for me too","839304559565383_839514762877696","negative",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"19","2017-09-08T09:44:08+0000","Massyturah Moctar",1.02e+16,"Not working for me too","839304559565383_839363112892861","negative",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20","2017-09-08T06:34:23+0000","Esther Chen",1.74e+15,"Until next Thursday?","839304559565383_839317396230766","neutral",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21","2017-09-09T06:30:13+0000","Jennise Ng",1.02e+16,"I can't add in code","839304559565383_839717696190736","negative",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"22","2017-09-08T18:20:27+0000","Jun Wee",1.02e+16,"We were alerted that our driver would arrive in 25 minutes and assumed it was incorrect as the GPS showed that the car was at the airport terminal we were at.  5 minutes later, we discovered that the driver was at Bedok south road and was completing a trip! By that time, it was too late to cancel our booking.   In the car, he received a call from a passenger who was also like us, waiting at the airport.   This dishonest driver who is obviously accepting calls at the airport just after he picks up passengers at the same location is unscrupulous and should be removed from Uber.","839304559565383_839533632875809","negative",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
"23","2017-09-11T00:38:03+0000","Leonard Teo",1.02e+16,"No point giving out any promo codes if it is going to reach the limit so soon. Even for the one I received on my email - I can't even apply that the moment I get the email. I have been facing the same problem since last 2 weeks. Something must been wrong with the system and stop giving the excuse it has reached its limit. Then might as well says the promo is only valid for 1 day.","839304559565383_840565232772649","negative",0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
